iter	Passed	Remaining
0	3	342
1	6	303
2	9	297
3	12	289
4	15	287
5	18	288
6	21	289
7	25	289
8	28	289
9	32	290
10	35	291
11	39	290
12	43	292
13	47	292
14	52	296
15	56	295
16	59	291
17	64	294
18	68	292
19	72	289
20	76	286
21	80	284
22	83	280
23	87	276
24	91	273
25	93	267
26	97	263
27	100	259
28	104	254
29	107	251
30	111	248
31	114	244
32	119	241
33	124	240
34	128	238
35	131	234
36	135	230
37	138	226
38	142	223
39	146	220
40	150	216
41	151	209
42	154	204
43	158	201
44	161	197
45	164	193
46	168	190
47	172	186
48	175	182
49	179	179
50	183	175
51	186	172
52	189	168
53	193	164
54	195	159
55	198	155
56	201	151
57	204	147
58	207	144
59	210	140
60	214	137
61	217	133
62	220	129
63	224	126
64	227	122
65	230	118
66	234	115
67	237	111
68	241	108
69	244	104
70	247	101
71	251	97
72	255	94
73	258	90
74	261	87
75	265	83
76	268	80
77	271	76
78	275	73
79	278	69
80	282	66
81	286	62
82	289	59
83	293	55
84	297	52
85	300	48
86	303	45
87	306	41
88	309	38
89	313	34
90	316	31
91	319	27
92	322	24
93	326	20
94	329	17
95	333	13
96	336	10
97	339	6
98	342	3
99	346	0
