iter	Passed	Remaining
0	3	3621
1	7	3841
2	10	3647
3	15	3925
4	19	3853
5	22	3714
6	25	3610
7	28	3589
8	32	3572
9	35	3544
10	40	3624
11	43	3611
12	47	3616
13	51	3594
14	54	3578
15	58	3573
16	60	3520
17	63	3485
18	67	3474
19	71	3494
20	73	3448
21	76	3418
22	79	3397
23	83	3410
24	87	3402
25	90	3383
26	93	3360
27	96	3335
28	99	3339
29	103	3352
30	106	3329
31	109	3326
32	113	3327
33	116	3316
34	119	3295
35	122	3283
36	125	3260
37	128	3251
38	130	3227
39	133	3198
40	136	3181
41	138	3163
42	141	3150
43	145	3160
44	148	3143
45	150	3125
46	153	3107
47	156	3098
48	158	3085
49	161	3069
50	163	3051
51	167	3061
52	171	3060
53	173	3047
54	176	3035
55	179	3021
56	182	3011
57	187	3037
58	189	3029
59	193	3031
60	196	3024
61	199	3019
62	203	3019
63	205	3010
64	208	3000
65	211	2989
66	214	2985
67	217	2979
68	220	2971
69	222	2961
70	225	2954
71	230	2970
72	233	2962
73	236	2956
74	239	2951
75	241	2938
76	244	2933
77	247	2922
78	249	2909
79	257	2955
80	259	2948
81	262	2939
82	263	2915
83	266	2904
84	268	2892
85	271	2882
86	274	2883
87	277	2875
88	280	2869
89	282	2860
90	285	2850
91	288	2845
92	290	2835
93	292	2823
94	295	2812
95	297	2799
96	299	2786
97	302	2788
98	305	2777
99	307	2766
100	309	2756
101	314	2769
102	317	2762
103	319	2754
104	322	2745
105	324	2733
106	326	2724
107	328	2714
108	331	2706
109	334	2704
110	336	2697
111	339	2693
112	342	2686
113	345	2683
114	347	2676
115	350	2669
116	352	2659
117	355	2654
118	357	2650
119	361	2650
120	364	2646
121	366	2640
122	369	2636
123	372	2630
124	376	2638
125	380	2636
126	382	2628
127	385	2624
128	388	2626
129	391	2621
130	394	2616
131	397	2611
132	399	2605
133	402	2601
134	406	2601
135	408	2595
136	411	2591
137	415	2593
138	421	2611
139	425	2611
140	428	2608
141	431	2604
142	436	2613
143	438	2607
144	442	2606
145	444	2601
146	448	2602
147	452	2602
148	455	2599
149	458	2599
150	464	2609
151	467	2608
152	471	2607
153	473	2603
154	477	2605
155	481	2604
156	484	2599
157	486	2594
158	490	2592
159	493	2590
160	495	2580
161	497	2575
162	500	2569
163	503	2568
164	507	2567
165	511	2568
166	513	2563
167	516	2558
168	520	2559
169	523	2556
170	527	2555
171	530	2551
172	532	2546
173	536	2547
174	539	2543
175	541	2537
176	544	2532
177	547	2526
178	550	2523
179	552	2518
180	556	2518
181	559	2513
182	562	2509
183	565	2508
184	568	2503
185	570	2498
186	573	2493
187	576	2490
188	580	2492
189	587	2504
190	590	2501
191	597	2515
192	600	2510
193	603	2506
194	607	2506
195	610	2505
196	613	2501
197	618	2505
198	621	2500
199	624	2498
200	628	2498
201	631	2495
202	636	2498
203	639	2495
204	642	2491
205	645	2487
206	648	2485
207	652	2486
208	655	2482
209	658	2478
210	661	2474
211	664	2471
212	667	2466
213	670	2460
214	672	2455
215	675	2450
216	679	2450
217	682	2446
218	684	2441
219	687	2435
220	689	2432
221	693	2431
222	700	2441
223	703	2436
224	706	2432
225	709	2428
226	711	2424
227	714	2419
228	718	2417
229	720	2413
230	723	2410
231	727	2407
232	730	2404
233	733	2400
234	737	2399
235	739	2395
236	742	2390
237	744	2385
238	747	2379
239	749	2374
240	753	2372
241	755	2367
242	758	2362
243	761	2357
244	763	2352
245	767	2353
246	770	2348
247	774	2348
248	776	2342
249	780	2341
250	783	2336
251	785	2330
252	787	2325
253	790	2321
254	793	2316
255	797	2317
256	799	2312
257	803	2309
258	805	2304
259	809	2302
260	811	2298
261	814	2294
262	817	2289
263	819	2285
264	823	2283
265	826	2280
266	829	2276
267	835	2282
268	839	2282
269	842	2278
270	845	2274
271	848	2270
272	850	2265
273	854	2263
274	856	2259
275	859	2255
276	863	2254
277	867	2251
278	870	2248
279	872	2243
280	875	2239
281	877	2234
282	881	2232
283	884	2229
284	887	2225
285	890	2222
286	893	2219
287	896	2217
288	899	2213
289	902	2209
290	905	2205
291	908	2201
292	912	2201
293	915	2198
294	918	2194
295	920	2189
296	924	2189
297	927	2185
298	930	2181
299	933	2177
300	936	2174
301	939	2171
302	943	2171
303	947	2169
304	951	2168
305	955	2166
306	958	2163
307	961	2159
308	964	2155
309	969	2157
310	972	2154
311	975	2150
312	978	2148
313	982	2145
314	985	2143
315	988	2139
316	991	2135
317	998	2140
318	1001	2138
319	1005	2136
320	1008	2132
321	1013	2133
322	1016	2130
323	1019	2127
324	1028	2135
325	1034	2137
326	1038	2137
327	1043	2138
328	1048	2139
329	1057	2147
330	1061	2145
331	1064	2142
332	1068	2139
333	1074	2143
334	1078	2140
335	1082	2139
336	1086	2136
337	1091	2137
338	1096	2137
339	1099	2134
340	1103	2132
341	1107	2129
342	1112	2131
343	1115	2127
344	1119	2124
345	1122	2121
346	1126	2119
347	1129	2117
348	1133	2113
349	1136	2110
350	1141	2109
351	1144	2106
352	1147	2103
353	1150	2099
354	1153	2095
355	1157	2093
356	1160	2090
357	1166	2091
358	1172	2094
359	1176	2090
360	1186	2100
361	1189	2096
362	1194	2095
363	1197	2092
364	1202	2092
365	1206	2089
366	1213	2092
367	1217	2091
368	1221	2089
369	1226	2087
370	1229	2085
371	1232	2081
372	1236	2078
373	1241	2078
374	1246	2076
375	1251	2076
376	1255	2074
377	1259	2072
378	1263	2069
379	1266	2066
380	1272	2067
381	1277	2066
382	1281	2064
383	1287	2064
384	1290	2061
385	1294	2059
386	1298	2056
387	1302	2054
388	1306	2051
389	1310	2049
390	1316	2050
391	1320	2048
392	1324	2045
393	1327	2041
394	1331	2039
395	1334	2035
396	1337	2032
397	1341	2028
398	1345	2026
399	1348	2022
400	1351	2018
401	1354	2014
402	1358	2011
403	1361	2008
404	1365	2006
405	1368	2001
406	1374	2002
407	1377	1998
408	1380	1994
409	1383	1990
410	1386	1987
411	1391	1985
412	1395	1983
413	1398	1979
414	1405	1980
415	1407	1976
416	1410	1972
417	1414	1969
418	1419	1968
419	1422	1964
420	1425	1960
421	1428	1956
422	1434	1956
423	1437	1952
424	1439	1947
425	1442	1944
426	1449	1944
427	1452	1941
428	1455	1937
429	1459	1934
430	1463	1931
431	1466	1927
432	1470	1925
433	1473	1921
434	1477	1918
435	1480	1914
436	1483	1911
437	1487	1908
438	1492	1907
439	1496	1904
440	1499	1900
441	1502	1897
442	1506	1894
443	1510	1891
444	1513	1887
445	1516	1883
446	1520	1881
447	1523	1877
448	1527	1874
449	1530	1870
450	1534	1868
451	1537	1864
452	1542	1862
453	1544	1858
454	1549	1855
455	1552	1852
456	1555	1848
457	1558	1844
458	1561	1840
459	1566	1838
460	1569	1835
461	1573	1832
462	1578	1831
463	1582	1827
464	1585	1823
465	1588	1820
466	1593	1819
467	1597	1815
468	1602	1813
469	1607	1813
470	1611	1809
471	1615	1807
472	1618	1803
473	1623	1801
474	1625	1796
475	1628	1792
476	1630	1788
477	1633	1784
478	1637	1780
479	1640	1777
480	1643	1772
481	1646	1769
482	1650	1766
483	1654	1763
484	1659	1761
485	1662	1758
486	1665	1754
487	1669	1751
488	1671	1746
489	1674	1742
490	1676	1738
491	1681	1735
492	1684	1731
493	1686	1727
494	1690	1724
495	1694	1721
496	1697	1718
497	1700	1713
498	1702	1709
499	1705	1705
500	1711	1705
501	1715	1701
502	1718	1697
503	1721	1694
504	1724	1690
505	1727	1686
506	1730	1682
507	1733	1679
508	1736	1675
509	1739	1671
510	1742	1667
511	1745	1663
512	1748	1659
513	1751	1656
514	1754	1652
515	1757	1648
516	1760	1644
517	1763	1641
518	1768	1639
519	1771	1635
520	1773	1630
521	1776	1626
522	1780	1623
523	1784	1620
524	1787	1617
525	1790	1613
526	1793	1609
527	1797	1606
528	1800	1602
529	1802	1598
530	1805	1594
531	1807	1590
532	1811	1587
533	1814	1583
534	1816	1578
535	1819	1574
536	1822	1571
537	1825	1567
538	1829	1564
539	1831	1560
540	1834	1556
541	1838	1553
542	1841	1549
543	1844	1545
544	1846	1541
545	1849	1538
546	1853	1535
547	1857	1531
548	1860	1528
549	1863	1524
550	1867	1521
551	1870	1517
552	1873	1514
553	1875	1510
554	1878	1506
555	1881	1502
556	1884	1498
557	1886	1494
558	1888	1490
559	1891	1485
560	1893	1481
561	1896	1478
562	1898	1473
563	1900	1469
564	1903	1465
565	1905	1461
566	1907	1456
567	1910	1453
568	1913	1449
569	1916	1445
570	1918	1441
571	1921	1437
572	1924	1434
573	1927	1430
574	1929	1425
575	1931	1421
576	1933	1417
577	1936	1413
578	1940	1411
579	1943	1407
580	1945	1403
581	1947	1398
582	1950	1394
583	1953	1391
584	1955	1387
585	1958	1383
586	1960	1379
587	1962	1375
588	1965	1371
589	1985	1379
590	1987	1375
591	1990	1371
592	1992	1367
593	1995	1363
594	1998	1360
595	2001	1356
596	2004	1352
597	2006	1349
598	2009	1345
599	2012	1341
600	2015	1338
601	2018	1334
602	2021	1330
603	2023	1326
604	2027	1323
605	2030	1320
606	2032	1316
607	2035	1312
608	2037	1308
609	2041	1304
610	2043	1301
611	2046	1297
612	2049	1293
613	2052	1290
614	2055	1286
615	2058	1282
616	2061	1279
617	2064	1276
618	2067	1272
619	2070	1269
620	2073	1265
621	2075	1261
622	2078	1257
623	2082	1254
624	2088	1253
625	2091	1249
626	2094	1245
627	2096	1242
628	2100	1238
629	2104	1235
630	2107	1232
631	2110	1228
632	2113	1225
633	2116	1221
634	2119	1218
635	2122	1214
636	2125	1211
637	2129	1208
638	2131	1204
639	2134	1200
640	2137	1197
641	2140	1193
642	2144	1190
643	2147	1186
644	2149	1183
645	2152	1179
646	2155	1176
647	2159	1172
648	2162	1169
649	2165	1166
650	2169	1162
651	2173	1159
652	2175	1156
653	2178	1152
654	2182	1149
655	2185	1145
656	2188	1142
657	2191	1139
658	2194	1135
659	2197	1132
660	2201	1129
661	2204	1125
662	2208	1122
663	2211	1118
664	2214	1115
665	2218	1112
666	2221	1108
667	2224	1105
668	2226	1101
669	2230	1098
670	2233	1095
671	2236	1091
672	2239	1088
673	2242	1084
674	2246	1081
675	2249	1078
676	2252	1074
677	2255	1071
678	2258	1067
679	2261	1064
680	2264	1060
681	2267	1057
682	2269	1053
683	2271	1049
684	2275	1046
685	2277	1042
686	2280	1038
687	2282	1035
688	2285	1031
689	2289	1028
690	2292	1024
691	2294	1021
692	2297	1017
693	2300	1014
694	2303	1010
695	2305	1007
696	2308	1003
697	2311	999
698	2313	996
699	2316	992
700	2319	989
701	2322	985
702	2325	982
703	2327	978
704	2330	975
705	2333	971
706	2335	968
707	2338	964
708	2341	961
709	2344	957
710	2347	954
711	2350	950
712	2353	947
713	2355	943
714	2358	939
715	2360	936
716	2363	932
717	2366	929
718	2368	925
719	2371	922
720	2374	918
721	2377	915
722	2379	911
723	2382	908
724	2384	904
725	2386	900
726	2389	897
727	2391	893
728	2393	889
729	2396	886
730	2399	883
731	2402	879
732	2405	876
733	2407	872
734	2410	869
735	2412	865
736	2416	862
737	2418	858
738	2422	855
739	2424	851
740	2426	848
741	2429	844
742	2432	841
743	2435	837
744	2438	834
745	2441	831
746	2443	827
747	2446	824
748	2449	821
749	2453	817
750	2455	814
751	2458	810
752	2461	807
753	2464	804
754	2467	800
755	2470	797
756	2472	793
757	2475	790
758	2479	787
759	2483	784
760	2486	780
761	2489	777
762	2493	774
763	2496	771
764	2499	767
765	2502	764
766	2505	761
767	2508	757
768	2511	754
769	2514	751
770	2517	747
771	2521	744
772	2524	741
773	2528	738
774	2530	734
775	2533	731
776	2536	728
777	2539	724
778	2541	721
779	2544	717
780	2547	714
781	2550	710
782	2554	708
783	2557	704
784	2561	701
785	2565	698
786	2568	695
787	2570	691
788	2573	688
789	2576	684
790	2579	681
791	2582	678
792	2585	674
793	2587	671
794	2591	668
795	2594	665
796	2597	661
797	2601	658
798	2604	655
799	2607	651
800	2610	648
801	2613	645
802	2615	641
803	2617	638
804	2620	634
805	2623	631
806	2626	628
807	2629	624
808	2631	621
809	2634	617
810	2638	614
811	2640	611
812	2643	607
813	2645	604
814	2648	601
815	2652	598
816	2655	594
817	2657	591
818	2660	587
819	2662	584
820	2665	581
821	2668	577
822	2671	574
823	2673	571
824	2676	567
825	2678	564
826	2681	560
827	2683	557
828	2685	554
829	2689	550
830	2691	547
831	2694	544
832	2697	540
833	2699	537
834	2703	534
835	2706	530
836	2710	527
837	2712	524
838	2715	521
839	2718	517
840	2721	514
841	2723	511
842	2726	507
843	2730	504
844	2732	501
845	2735	497
846	2738	494
847	2740	491
848	2743	488
849	2746	484
850	2749	481
851	2752	478
852	2755	474
853	2758	471
854	2761	468
855	2764	465
856	2767	461
857	2770	458
858	2773	455
859	2776	451
860	2778	448
861	2781	445
862	2784	442
863	2788	438
864	2791	435
865	2794	432
866	2796	429
867	2799	425
868	2802	422
869	2805	419
870	2808	415
871	2810	412
872	2813	409
873	2817	406
874	2820	402
875	2823	399
876	2825	396
877	2828	393
878	2832	389
879	2835	386
880	2838	383
881	2841	380
882	2845	376
883	2849	373
884	2852	370
885	2857	367
886	2862	364
887	2865	361
888	2868	358
889	2871	354
890	2876	351
891	2879	348
892	2883	345
893	2886	342
894	2890	339
895	2893	335
896	2897	332
897	2900	329
898	2904	326
899	2908	323
900	2912	319
901	2915	316
902	2919	313
903	2921	310
904	2925	307
905	2928	303
906	2931	300
907	2934	297
908	2937	294
909	2940	290
910	2942	287
911	2945	284
912	2949	281
913	2952	277
914	2955	274
915	2957	271
916	2960	267
917	2963	264
918	2966	261
919	2968	258
